更新时间: 2026-03-23 00:59:31（北京时间）

更新时间,#genre#
2026-03-23 00:59:31,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

北京卫视,http://123.114.17.150:4000/rtp/239.3.1.241:8000$北京市联通
广东卫视,http://222.188.161.145:4022/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://123.114.17.150:4000/rtp/239.3.1.142:8048$北京市联通
广西卫视,http://222.188.161.145:4022/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://123.114.17.150:4000/rtp/239.3.1.39:8300$北京市联通
东南卫视,http://222.188.161.145:4022/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://123.114.17.150:4000/rtp/239.3.1.156:8148$北京市联通
海南卫视,http://222.188.161.145:4022/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://123.114.17.150:4000/rtp/239.3.1.45:8304$北京市联通
河北卫视,http://222.188.161.145:4022/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://123.114.17.150:4000/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://222.188.161.145:4022/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://123.114.17.150:4000/rtp/239.3.1.50:8184$北京市联通
湖北卫视,http://222.188.161.145:4022/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://123.114.17.150:4000/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://222.188.161.145:4022/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://123.114.17.150:4000/rtp/239.3.1.123:8164$北京市联通
四川卫视,http://222.188.161.145:4022/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://123.114.17.150:4000/rtp/239.3.1.29:8288$北京市联通
重庆卫视,http://222.188.161.145:4022/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://123.114.17.150:4000/rtp/239.3.1.122:8160$北京市联通
贵州卫视,http://222.188.161.145:4022/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://123.114.17.150:4000/rtp/239.3.1.149:8076$北京市联通
云南卫视,http://222.188.161.145:4022/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://123.114.17.150:4000/rtp/239.3.1.26:8108$北京市联通
天津卫视,http://222.188.161.145:4022/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://123.114.17.150:4000/rtp/239.3.1.141:1234$北京市联通
安徽卫视,http://222.188.161.145:4022/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://123.114.17.150:4000/rtp/239.3.1.211:8064$北京市联通
山东卫视,http://222.188.161.145:4022/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://123.114.17.150:4000/rtp/239.3.1.209:8052$北京市联通
辽宁卫视,http://222.188.161.145:4022/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://123.114.17.150:4000/rtp/239.3.1.210:8056$北京市联通
黑龙江卫视,http://222.188.161.145:4022/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://123.114.17.150:4000/rtp/239.3.1.133:8016$北京市联通
吉林卫视,http://222.188.161.145:4022/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://123.114.17.150:4000/rtp/239.3.1.240:8172$北京市联通
内蒙古卫视,http://123.114.17.150:4000/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://123.114.17.150:4000/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://123.114.17.150:4000/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
陕西卫视,http://123.114.17.150:4000/rtp/239.3.1.41:8140$北京市联通
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://123.114.17.150:4000/rtp/239.3.1.201:8180$北京市联通
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
青海卫视,http://123.114.17.150:4000/rtp/239.3.1.44:8184$北京市联通
新疆卫视,http://123.114.17.150:4000/rtp/239.3.1.167:8192$北京市联通
西藏卫视,http://123.114.17.150:4000/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://222.188.161.145:4022/rtp/239.49.0.167:8000$江苏电信
三沙卫视,http://123.114.17.150:4000/rtp/239.3.1.155:4120$北京市联通
兵团卫视,http://123.114.17.150:4000/rtp/239.3.1.168:8196$北京市联通
山东教育卫视,http://222.188.161.145:4022/rtp/239.49.0.235:8000$江苏电信
山东教育卫视,http://123.114.17.150:4000/rtp/239.3.1.52:4120$北京市联通
中国教育1台,http://222.188.161.145:4022/rtp/239.49.8.115:8000$江苏电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://123.114.17.150:4000/rtp/239.3.1.57:8152$北京市联通
中国教育2台,http://123.114.17.150:4000/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://123.114.17.150:4000/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://222.188.161.145:4022/rtp/239.49.0.125:8000$江苏电信
中国教育4台,http://123.114.17.150:4000/rtp/239.3.1.56:4120$北京市联通

数字频道,#genre#
淘电影,http://123.114.17.150:4000/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://123.114.17.150:4000/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://123.114.17.150:4000/rtp/239.3.1.95:8001$北京市联通
淘娱乐,http://123.114.17.150:4000/rtp/239.3.1.100:8001$北京市联通
金鹰纪实,http://222.188.161.145:4022/rtp/239.49.8.79:8000$江苏电信
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://123.114.17.150:4000/rtp/239.3.1.58:8156$北京市联通
纪实科教,http://123.114.17.150:4000/rtp/239.3.1.115:8000$北京市联通
睛彩青少,http://222.188.161.145:4022/rtp/239.49.8.46:8000$江苏电信
睛彩青少,http://123.114.17.150:4000/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://222.188.161.145:4022/rtp/239.49.8.39:8000$江苏电信
睛彩竞技,http://123.114.17.150:4000/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://222.188.161.145:4022/rtp/239.49.8.42:8000$江苏电信
睛彩篮球,http://123.114.17.150:4000/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://222.188.161.145:4022/rtp/239.49.8.64:8000$江苏电信
睛彩广场舞,http://123.114.17.150:4000/rtp/239.3.1.128:8001$北京市联通
魅力足球,http://222.188.161.145:4022/rtp/239.49.1.179:6000$江苏电信
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
快乐垂钓,http://222.188.161.145:4022/rtp/239.49.0.114:8000$江苏电信
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
快乐垂钓,http://123.114.17.150:4000/rtp/239.3.1.164:8001$北京市联通
茶频道,http://222.188.161.145:4022/rtp/239.49.0.146:8000$江苏电信
